--- PROJECTS ---
- ID: 699d1f2b4d7710a3ad23596c, Name: Industrial Shed – Phase II, Count: 1
- ID: 699d1f2b4d7710a3ad23596f, Name: Warehouse Complex – WH7, Count: undefined
- ID: 69ba3ad5b0939795cf6046e7, Name: maryland, Count: 7
- ID: 69bb9f35cb7055937287ba0e, Name: cleve, Count: 16
- ID: 69bd358ee076089d2d34a4ca, Name: sds, Count: 1

--- ALL TRANSMITTALS ---
- ProjectID: 69afa769504243a96bcc119f, Transmittal #: 6, New: 1, ID: 69afa799504243a96bcc12b6
- ProjectID: 69afa769504243a96bcc119f, Transmittal #: 7, New: 1, ID: 69afa7a5504243a96bcc1300
- ProjectID: 69afa769504243a96bcc119f, Transmittal #: 8, New: 1, ID: 69afa7aa504243a96bcc1325
- ProjectID: 69afa769504243a96bcc119f, Transmittal #: 9, New: 1, ID: 69afa7ab504243a96bcc1330
- ProjectID: 69afa769504243a96bcc119f, Transmittal #: 10, New: 1, ID: 69afa7ab504243a96bcc133b
- ProjectID: 69afa769504243a96bcc119f, Transmittal #: 11, New: 1, ID: 69afa7af504243a96bcc1364
- ProjectID: 69afa769504243a96bcc119f, Transmittal #: 12, New: 1, ID: 69afa7af504243a96bcc136f
- ProjectID: 69afa769504243a96bcc119f, Transmittal #: 13, New: 0, ID: 69afa7c0504243a96bcc13be
- ProjectID: 69afa8793a1c6c74e40c4f7f, Transmittal #: 1, New: 1, ID: 69afa8963a1c6c74e40c5023
- ProjectID: 69afa8793a1c6c74e40c4f7f, Transmittal #: 2, New: 2, ID: 69afa89a3a1c6c74e40c5038
- ProjectID: 69afa8793a1c6c74e40c4f7f, Transmittal #: 3, New: 2, ID: 69afa89e3a1c6c74e40c5051
- ProjectID: 69afa8793a1c6c74e40c4f7f, Transmittal #: 4, New: 1, ID: 69afa8a73a1c6c74e40c5078
- ProjectID: 69afa8793a1c6c74e40c4f7f, Transmittal #: 5, New: 1, ID: 69afa8b63a1c6c74e40c50d8
- ProjectID: 69afa8793a1c6c74e40c4f7f, Transmittal #: 6, New: 2, ID: 69afa8b93a1c6c74e40c50f3
- ProjectID: 69afa8793a1c6c74e40c4f7f, Transmittal #: 7, New: 1, ID: 69afa8ba3a1c6c74e40c5109
- ProjectID: 69afa8793a1c6c74e40c4f7f, Transmittal #: 8, New: 1, ID: 69afa8bd3a1c6c74e40c5128
- ProjectID: 69afa8793a1c6c74e40c4f7f, Transmittal #: 9, New: 1, ID: 69afa8be3a1c6c74e40c5133
- ProjectID: 69afa8793a1c6c74e40c4f7f, Transmittal #: 10, New: 0, ID: 69afa8d13a1c6c74e40c5188
- ProjectID: 69afa9b83a1c6c74e40c51b4, Transmittal #: 1, New: 1, ID: 69afa9d23a1c6c74e40c5251
- ProjectID: 69afa9b83a1c6c74e40c51b4, Transmittal #: 2, New: 1, ID: 69afa9d73a1c6c74e40c5266
- ProjectID: 69afa9b83a1c6c74e40c51b4, Transmittal #: 3, New: 1, ID: 69afa9d73a1c6c74e40c5275
- ProjectID: 69afa9b83a1c6c74e40c51b4, Transmittal #: 4, New: 1, ID: 69afa9d83a1c6c74e40c5281
- ProjectID: 69afa9b83a1c6c74e40c51b4, Transmittal #: 5, New: 1, ID: 69afa9da3a1c6c74e40c5293
- ProjectID: 69afa9b83a1c6c74e40c51b4, Transmittal #: 6, New: 1, ID: 69afa9e23a1c6c74e40c52b6
- ProjectID: 69afa9b83a1c6c74e40c51b4, Transmittal #: 7, New: 1, ID: 69afa9e53a1c6c74e40c52c6
- ProjectID: 69afa9b83a1c6c74e40c51b4, Transmittal #: 8, New: 1, ID: 69afa9ef3a1c6c74e40c531c
- ProjectID: 69afa9b83a1c6c74e40c51b4, Transmittal #: 9, New: 1, ID: 69afa9ef3a1c6c74e40c5327
- ProjectID: 69afa9b83a1c6c74e40c51b4, Transmittal #: 10, New: 1, ID: 69afa9f03a1c6c74e40c5332
- ProjectID: 69afa9b83a1c6c74e40c51b4, Transmittal #: 11, New: 1, ID: 69afa9f13a1c6c74e40c5347
- ProjectID: 69afa9b83a1c6c74e40c51b4, Transmittal #: 12, New: 1, ID: 69afa9f23a1c6c74e40c535c
- ProjectID: 69afa9b83a1c6c74e40c51b4, Transmittal #: 13, New: 1, ID: 69afa9f43a1c6c74e40c5371
- ProjectID: 69afa9b83a1c6c74e40c51b4, Transmittal #: 14, New: 0, ID: 69afaa063a1c6c74e40c53bc
- ProjectID: 69afafc63a1c6c74e40c53fd, Transmittal #: 1, New: 1, ID: 69afafe33a1c6c74e40c549d
- ProjectID: 69afafc63a1c6c74e40c53fd, Transmittal #: 2, New: 1, ID: 69afafe43a1c6c74e40c54ac
- ProjectID: 69afafc63a1c6c74e40c53fd, Transmittal #: 3, New: 1, ID: 69afafe73a1c6c74e40c54bb
- ProjectID: 69afafc63a1c6c74e40c53fd, Transmittal #: 4, New: 1, ID: 69afafe93a1c6c74e40c54cd
- ProjectID: 69afafc63a1c6c74e40c53fd, Transmittal #: 5, New: 1, ID: 69afafea3a1c6c74e40c54d9
